order_id,customer_id,order_date,status,total_amount,shipping_address,created_at,updated_at
ORD10001,CUST00003,2026-01-05T10:23:00,UNKNOWN,2698.0,,2026-01-05T10:23:00,
ORD10002,CUST00007,2026-01-08T14:45:00,UNKNOWN,1799.0,,2026-01-08T14:45:00,
ORD10003,CUST00015,2026-01-12T09:10:00,UNKNOWN,4498.0,,2026-01-12T09:10:00,
ORD10004,CUST00001,2026-01-15T16:30:00,UNKNOWN,1299.0,,2026-01-15T16:30:00,
ORD10005,CUST00022,2026-01-18T11:00:00,UNKNOWN,599.0,,2026-01-18T11:00:00,
ORD10006,CUST00009,2026-01-22T08:55:00,UNKNOWN,3298.0,,2026-01-22T08:55:00,
ORD10007,CUST00012,2026-01-25T13:20:00,UNKNOWN,2199.0,,2026-01-25T13:20:00,
ORD10008,CUST00030,2026-01-28T17:40:00,UNKNOWN,1499.0,,2026-01-28T17:40:00,
ORD10009,CUST00005,2026-02-01T10:15:00,UNKNOWN,3998.0,,2026-02-01T10:15:00,
ORD10010,CUST00018,2026-02-04T15:30:00,UNKNOWN,1899.0,,2026-02-04T15:30:00,
ORD10011,CUST00025,2026-02-08T09:45:00,UNKNOWN,799.0,,2026-02-08T09:45:00,
ORD10012,CUST00002,2026-02-12T12:00:00,UNKNOWN,2499.0,,2026-02-12T12:00:00,
ORD10013,CUST00035,2026-02-15T14:20:00,UNKNOWN,5498.0,,2026-02-15T14:20:00,
ORD10014,CUST00011,2026-02-18T11:30:00,UNKNOWN,1199.0,,2026-02-18T11:30:00,
ORD10015,CUST00040,2026-02-22T16:10:00,UNKNOWN,1598.0,,2026-02-22T16:10:00,
ORD10016,CUST00006,2026-02-25T08:30:00,UNKNOWN,2999.0,,2026-02-25T08:30:00,
ORD10017,CUST00028,2026-03-01T10:50:00,UNKNOWN,1499.0,,2026-03-01T10:50:00,
ORD10018,CUST00014,2026-03-04T13:15:00,UNKNOWN,899.0,,2026-03-04T13:15:00,
